Record Id,Data Source,Allocated  NN,Pcode,Xcord,Ycord,Last  Modified,Generic Geography/Street name?
252,Staff Survey,City Centre,EH3 8BJ,324746,673206,04/09/2013,
253,Staff Survey,Lochend,EH7 5BF,327449,674746,04/09/2013,
254,Staff Survey,Tollcross,EH3 9JZ,324996,672831,04/09/2013,
255,Staff Survey,Leith,EH6 4BZ,326065,676245,04/09/2013,
256,Staff Survey,The Inch,EH16 5SG,327938,670174,04/09/2013,
257,Staff Survey,Pilrig,EH7 4rf,326350,675295,04/09/2013,
258,Staff Survey,Leith Links,eh6 7qf,328221,675674,04/09/2013,
259,Staff Survey,Carrick Knowe,EH12 7JH,320318,672281,04/09/2013,
260,Staff Survey,Leith,EH6 5QB,326018,675953,04/09/2013,
261,Staff Survey,Newington,EH8 9NF,326206,672718,04/09/2013,
262,Staff Survey,West Edinburgh,eh12 5xe,321860,672584,04/09/2013,generic
263,Staff Survey,Broughton/Canonmills,EH7 4DY,325503,675025,04/09/2013,
264,Staff Survey,Shandon,EH11 1SQ,323299,671845,04/09/2013,
265,Staff Survey,Leith,EH6 4HB,326156,676470,04/09/2013,
266,Staff Survey,Southside,EH8 9JN,326113,672900,04/09/2013,
267,Staff Survey,Bruntsfield,EH10 4DQ,324527,672001,04/09/2013,
268,Staff Survey,Clermiston,eh4 7pr,319870,674854,04/09/2013,
269,Staff Survey,Trinity,EH5 3NS,324766,676090,04/09/2013,
270,Staff Survey,Davidson's Mains,EH4 5HQ,320633,675780,04/09/2013,
271,Staff Survey,Comely Bank,EH4 3JF,323184,674250,04/09/2013,
272,Staff Survey,Merchiston,EH10 5AR,324122,672063,04/09/2013,
273,Staff Survey,Fountainbridge,EH11 1BE,324012,672538,04/09/2013,
274,Staff Survey,Dumbiedykes,eh8 9ul,326446,673468,04/09/2013,
275,Staff Survey,Restalrig,EH7 6EL,328289,674906,04/09/2013,
276,Staff Survey,Kirkliston,EH29 9AR,312421,674669,04/09/2013,
277,Staff Survey,The Jewel,EH15 3SD,330646,672219,04/09/2013,
278,Staff Survey,South Edinburgh,EH17 7QP,328227,669266,04/09/2013,generic
279,Staff Survey,Polwarth,EH11 1LW,324103,672268,04/09/2013,
280,Staff Survey,Polwarth,EH11 1JE,323898,672275,04/09/2013,
281,Staff Survey,Meadowbank,EH7 5UF,327556,674456,04/09/2013,
282,Staff Survey,Morningside,EH10 5NA,324349,670641,04/09/2013,
283,Staff Survey,East Edinburgh,eh16 4rx,330076,671861,04/09/2013,generic
284,Staff Survey,West Pilton,EH4 4EX,322352,676425,04/09/2013,
285,Staff Survey,Murrayburn,EH14 2RT,319853,670082,04/09/2013,
286,Staff Survey,Leith,eh6 5bf,326156,675495,04/09/2013,
287,Staff Survey,Colinton Mains,EH13 9AS,323050,669245,04/09/2013,
288,Staff Survey,Southside,EH16 5JB,327686,671844,04/09/2013,
289,Staff Survey,Prestonfield,EH16 5EG,327532,671812,04/09/2013,
290,Staff Survey,Goldenacre,EH3 5QU,324726,675956,04/09/2013,
291,Staff Survey,Oxgangs Farm,EH13 9QG,323303,668766,04/09/2013,
292,Staff Survey,Sighthill,EH11 4PL,319963,670518,04/09/2013,
293,Staff Survey,Davidson's Mains,EH4 5BD,320776,675307,04/09/2013,
294,Staff Survey,Inverleith,EH3 5LX,324931,675509,04/09/2013,
295,Staff Survey,North Edinburgh,eh4 5ne,321135,676003,04/09/2013,generic
296,Staff Survey,Morningside,EH10 4QP,324546,671284,04/09/2013,
297,Staff Survey,Willowbrae,EH8 7HP,328551,673801,04/09/2013,
298,Staff Survey,Craigleith,EH4 2UR,323494,674281,04/09/2013,
299,Staff Survey,Liberton,EH16 6TS,327342,670256,04/09/2013,
300,Staff Survey,NN not supplied,eh8 7hl,328629,673858,04/09/2013,
301,Staff Survey,Leith,EH6 8HN,327145,675818,04/09/2013,
302,Staff Survey,Joppa,EH15 2LS,332115,673318,04/09/2013,
303,Staff Survey,Saughton,EH11 3LY,320613,671558,04/09/2013,
304,Staff Survey,Trinity,EH5 3EP,325163,676544,04/09/2013,
305,Staff Survey,The Inch,EH16 5SN,328285,670358,04/09/2013,
306,Staff Survey,Blackford,EH9 3DN,326072,671072,04/09/2013,
307,Staff Survey,Blackford,EH9 3EX,326006,670939,04/09/2013,
308,Staff Survey,Easter Road,EH7 5QF,327273,674761,04/09/2013,
309,Staff Survey,Colinton Mains,EH13 9DQ,323048,669073,04/09/2013,
310,Staff Survey,Leith,EH6 6LT,326764,676675,04/09/2013,
311,Staff Survey,Leith,EH7 5QU,327185,674904,04/09/2013,
312,Staff Survey,Viewforth/Fountainbridge,EH11 1JW,324295,672545,04/09/2013,
314,Staff Survey,Portobello,EH15 1QJ,329938,673286,04/09/2013,
315,Staff Survey,Leith,EH7 5HL,326535,675008,04/09/2013,
316,Staff Survey,Abbeyhill,EH8 8ES,327169,674045,04/09/2013,
317,Staff Survey,Leith,EH6 6AX,327174,676273,04/09/2013,
318,Staff Survey,NN not supplied,EH4 4DQ,322540,676204,04/09/2013,
319,Staff Survey,Willowbrae/Duddingston,EH8 7PE,328933,673075,04/09/2013,
320,Staff Survey,Bruntsfield,EH10 4EZ,324909,672105,04/09/2013,
321,Staff Survey,Leith,EH6 8PH,326853,675313,04/09/2013,
322,Staff Survey,Craigentinny,eh7 6qx,329432,675012,04/09/2013,
323,Staff Survey,Polwarth,EH11 1JA,323818,672202,04/09/2013,
324,Staff Survey,Fountainbridge,EH11 2BN,324150,673097,04/09/2013,
325,Staff Survey,East Craigs,EH12 8TZ,318288,673761,04/09/2013,
326,Staff Survey,Corstorphine,EH12 6LA,320356,673240,04/09/2013,
327,Staff Survey,Fettes,EH4 1TE,323409,675520,04/09/2013,
328,Staff Survey,Liberton,EH16 6UX,326719,668481,04/09/2013,
329,Staff Survey,Morningside,EH10 4SY,324644,671180,04/09/2013,
330,Staff Survey,Craigentinny,EH7 6LU,328698,674847,04/09/2013,
331,Staff Survey,Comely Bank,EH4 1ET,324127,674484,04/09/2013,
332,Staff Survey,Pilton,eh4 2qg,322302,675557,04/09/2013,
333,Staff Survey,Gilmerton,EH17 8UP,328192,667735,04/09/2013,
334,Staff Survey,Davidson's Mains,EH4 5BF,320725,675215,04/09/2013,
335,Staff Survey,Stockbridge,EH4 1AR,323980,674625,04/09/2013,
